epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,225.529,1.21703,0.83155,1.17596,0.81159,0.64495,0.76546,0.44813,1.44641,0.96424,1.37642,0.00132868,0.00132868,0.00132868
43,233.425,1.21754,0.86663,1.20639,0.80329,0.65884,0.75009,0.43837,1.49508,0.99425,1.40896,0.00132043,0.00132043,0.00132043
44,241.17,1.21702,0.84488,1.18105,0.76449,0.61945,0.73191,0.42004,1.4811,1.00874,1.41788,0.00131218,0.00131218,0.00131218
45,249.01,1.19223,0.84433,1.16965,0.82308,0.64951,0.76994,0.44209,1.47919,0.97368,1.42835,0.00130393,0.00130393,0.00130393
46,256.684,1.20585,0.8238,1.1843,0.76572,0.6845,0.76235,0.44184,1.44784,1.00759,1.41985,0.00129568,0.00129568,0.00129568
47,264.571,1.18051,0.80457,1.17615,0.76751,0.68063,0.75003,0.43704,1.48455,0.98219,1.39902,0.00128742,0.00128742,0.00128742
48,272.426,1.21084,0.80411,1.17628,0.8004,0.68169,0.76613,0.44102,1.46488,0.98627,1.40406,0.00127917,0.00127917,0.00127917
49,280.356,1.19114,0.80337,1.17211,0.79226,0.69426,0.77053,0.45379,1.44882,0.95882,1.37526,0.00127092,0.00127092,0.00127092
50,288.08,1.21828,0.80883,1.17186,0.72775,0.6918,0.7513,0.44029,1.47539,0.99126,1.38365,0.00126267,0.00126267,0.00126267
51,295.977,1.18125,0.78692,1.16301,0.87629,0.69685,0.80624,0.47958,1.43714,0.87245,1.34912,0.00125442,0.00125442,0.00125442
52,303.721,1.16099,0.79526,1.16051,0.80886,0.66293,0.77368,0.45507,1.45866,0.98777,1.37158,0.00124617,0.00124617,0.00124617
53,311.693,1.16611,0.78265,1.14154,0.8032,0.64275,0.77486,0.4337,1.49273,0.96943,1.40631,0.00123791,0.00123791,0.00123791
54,319.378,1.17006,0.77961,1.166,0.77493,0.70272,0.77949,0.45345,1.48234,0.93805,1.40576,0.00122966,0.00122966,0.00122966
55,327.098,1.16149,0.75879,1.15464,0.78204,0.68902,0.76671,0.46048,1.44126,0.96419,1.3766,0.00122141,0.00122141,0.00122141
56,334.705,1.16147,0.77704,1.15402,0.72651,0.70992,0.76278,0.44367,1.43511,0.95882,1.36778,0.00121316,0.00121316,0.00121316
57,342.515,1.15438,0.76058,1.15558,0.78722,0.73366,0.8003,0.46083,1.47517,0.87779,1.41332,0.00120491,0.00120491,0.00120491
58,350.152,1.15403,0.76791,1.15991,0.80051,0.63043,0.74002,0.44147,1.4438,1.00096,1.38211,0.00119666,0.00119666,0.00119666
59,357.981,1.12577,0.7496,1.13946,0.75836,0.72168,0.77515,0.45631,1.46967,0.95149,1.4098,0.0011884,0.0011884,0.0011884
60,365.638,1.1439,0.74962,1.15201,0.81088,0.70211,0.77424,0.46302,1.44971,0.91655,1.37842,0.00118015,0.00118015,0.00118015
61,373.646,1.17662,0.77702,1.15174,0.78579,0.69115,0.77531,0.47281,1.44482,0.89914,1.37549,0.0011719,0.0011719,0.0011719
62,381.554,1.14013,0.76247,1.13687,0.79856,0.72293,0.79347,0.47222,1.45053,0.86915,1.37956,0.00116365,0.00116365,0.00116365
63,389.355,1.12354,0.73348,1.13854,0.8127,0.6878,0.78107,0.46331,1.43584,0.91528,1.36008,0.0011554,0.0011554,0.0011554
64,397.037,1.11471,0.72998,1.13421,0.78366,0.73858,0.79653,0.47346,1.44706,0.89138,1.37648,0.00114715,0.00114715,0.00114715
65,404.872,1.11495,0.71222,1.13772,0.83643,0.65574,0.78505,0.45874,1.48072,0.87558,1.41707,0.00113889,0.00113889,0.00113889
66,412.494,1.12248,0.71679,1.13618,0.83165,0.67375,0.77955,0.46244,1.45201,0.90915,1.40331,0.00113064,0.00113064,0.00113064
67,420.227,1.10817,0.72653,1.12877,0.76105,0.71244,0.78651,0.46269,1.46556,0.92941,1.39464,0.00112239,0.00112239,0.00112239
68,427.882,1.10588,0.717,1.12457,0.77942,0.72861,0.79019,0.46609,1.4626,0.89683,1.41225,0.00111414,0.00111414,0.00111414
69,435.638,1.13681,0.71831,1.13879,0.78331,0.7093,0.77367,0.46217,1.47751,0.90137,1.41091,0.00110589,0.00110589,0.00110589
70,443.486,1.1007,0.72223,1.11276,0.76248,0.70341,0.78765,0.45393,1.48157,0.87639,1.42332,0.00109764,0.00109764,0.00109764
71,451.197,1.09477,0.70332,1.11429,0.81636,0.73448,0.78952,0.46813,1.44942,0.90257,1.38715,0.00108938,0.00108938,0.00108938
72,458.966,1.07688,0.70893,1.12168,0.81218,0.6932,0.78581,0.47388,1.43902,0.89416,1.39835,0.00108113,0.00108113,0.00108113
73,466.661,1.08706,0.69673,1.11845,0.76762,0.70757,0.78606,0.46069,1.47691,0.9134,1.41058,0.00107288,0.00107288,0.00107288
74,474.353,1.06503,0.67846,1.10142,0.80171,0.7207,0.79489,0.4694,1.47366,0.91519,1.41029,0.00106463,0.00106463,0.00106463
75,482.016,1.06757,0.67967,1.09845,0.7984,0.70651,0.77335,0.46097,1.42218,0.90381,1.37185,0.00105638,0.00105638,0.00105638
76,489.907,1.0586,0.65839,1.1058,0.78202,0.72957,0.79716,0.47798,1.43569,0.85371,1.38387,0.00104813,0.00104813,0.00104813
77,497.571,1.05811,0.66447,1.0989,0.82055,0.74598,0.80663,0.47975,1.46268,0.84462,1.39639,0.00103987,0.00103987,0.00103987
78,505.355,1.0775,0.68109,1.12159,0.81497,0.68977,0.78042,0.45803,1.44024,0.87251,1.38621,0.00103162,0.00103162,0.00103162
79,512.996,1.02383,0.66431,1.09671,0.81342,0.68911,0.77472,0.45549,1.46218,0.89869,1.38675,0.00102337,0.00102337,0.00102337
80,520.74,1.06305,0.65434,1.10147,0.8081,0.75324,0.80522,0.45868,1.47887,0.86658,1.42355,0.00101512,0.00101512,0.00101512
81,528.368,1.05179,0.66957,1.08676,0.81118,0.72378,0.79985,0.46316,1.46291,0.88292,1.41487,0.00100687,0.00100687,0.00100687
82,536.199,1.04441,0.66679,1.10035,0.79212,0.73417,0.79031,0.4698,1.46735,0.9007,1.39999,0.000998616,0.000998616,0.000998616
83,543.858,1.03222,0.65093,1.08701,0.82467,0.70051,0.78704,0.46597,1.46189,0.89717,1.41867,0.000990365,0.000990365,0.000990365
84,551.622,1.0406,0.65501,1.08817,0.80116,0.69566,0.76927,0.45392,1.48701,0.91834,1.4344,0.000982113,0.000982113,0.000982113
85,559.28,1.03086,0.65238,1.08397,0.8157,0.70021,0.77344,0.45534,1.49242,0.92131,1.44619,0.000973861,0.000973861,0.000973861
86,566.997,1.05093,0.67084,1.08796,0.77968,0.71475,0.7791,0.45923,1.48032,0.8953,1.41608,0.00096561,0.00096561,0.00096561
87,574.692,1.02212,0.63839,1.08089,0.77974,0.71655,0.78609,0.47103,1.43267,0.87045,1.38605,0.000957358,0.000957358,0.000957358
88,582.487,1.0296,0.64342,1.0785,0.80129,0.70813,0.78196,0.46032,1.47154,0.92243,1.41652,0.000949106,0.000949106,0.000949106
89,590.443,1.02376,0.64677,1.0865,0.77034,0.70877,0.77656,0.46912,1.46576,0.94441,1.41428,0.000940855,0.000940855,0.000940855
90,598.322,1.02564,0.64283,1.09098,0.84011,0.68627,0.79028,0.47869,1.45246,0.85796,1.40481,0.000932603,0.000932603,0.000932603
91,606.045,1.04414,0.65369,1.09854,0.82806,0.6959,0.79242,0.47556,1.42256,0.85105,1.37993,0.000924352,0.000924352,0.000924352
92,613.92,0.98185,0.61316,1.06203,0.78028,0.69811,0.77229,0.46379,1.42903,0.92917,1.37738,0.0009161,0.0009161,0.0009161
93,621.92,1.01121,0.62331,1.0733,0.84244,0.69889,0.79805,0.47433,1.47855,0.87391,1.43159,0.000907848,0.000907848,0.000907848
94,630.001,1.00307,0.6216,1.07434,0.8546,0.66813,0.78475,0.46966,1.44087,0.8651,1.3921,0.000899597,0.000899597,0.000899597
95,637.813,0.99113,0.61693,1.071,0.76615,0.7391,0.78513,0.46531,1.46357,0.84805,1.41028,0.000891345,0.000891345,0.000891345
96,645.548,0.98744,0.61615,1.06966,0.85189,0.70114,0.8025,0.48169,1.46093,0.83013,1.40696,0.000883093,0.000883093,0.000883093
97,653.19,0.98233,0.61715,1.07229,0.82106,0.69961,0.79073,0.47293,1.48951,0.90203,1.43231,0.000874842,0.000874842,0.000874842
98,660.939,0.99176,0.59756,1.06377,0.77538,0.74061,0.79554,0.46401,1.4973,0.866,1.44198,0.00086659,0.00086659,0.00086659
99,668.775,1.00149,0.62822,1.07485,0.8019,0.68865,0.77449,0.46097,1.47663,0.8886,1.45258,0.000858338,0.000858338,0.000858338
100,676.464,0.97324,0.59864,1.0614,0.76199,0.69968,0.77678,0.4623,1.46585,0.91488,1.41486,0.000850087,0.000850087,0.000850087
101,684.296,0.97525,0.6049,1.0565,0.78982,0.72591,0.78891,0.46877,1.47109,0.89602,1.4024,0.000841835,0.000841835,0.000841835
102,692.001,0.9745,0.6032,1.0522,0.79521,0.7242,0.79617,0.48283,1.46152,0.86031,1.40956,0.000833583,0.000833583,0.000833583
103,699.772,0.98049,0.60866,1.06741,0.77843,0.73524,0.80006,0.46627,1.46618,0.8435,1.4216,0.000825332,0.000825332,0.000825332
104,707.411,0.98178,0.60996,1.0504,0.80878,0.72268,0.78679,0.46887,1.45263,0.86105,1.4062,0.00081708,0.00081708,0.00081708
105,715.165,0.95051,0.58949,1.04798,0.79868,0.68769,0.79133,0.47931,1.42022,0.85392,1.38064,0.000808828,0.000808828,0.000808828
106,722.723,0.95563,0.58597,1.04876,0.82787,0.7245,0.80944,0.48387,1.44801,0.82209,1.3957,0.000800577,0.000800577,0.000800577
107,730.401,0.9433,0.5785,1.05064,0.77661,0.71746,0.78787,0.46014,1.46807,0.91057,1.42393,0.000792325,0.000792325,0.000792325
108,738.021,0.94945,0.5807,1.05116,0.82155,0.69621,0.80337,0.47502,1.48298,0.84891,1.45619,0.000784073,0.000784073,0.000784073
109,745.8,0.95047,0.58475,1.04287,0.81758,0.69035,0.79718,0.46779,1.47045,0.87063,1.44125,0.000775822,0.000775822,0.000775822
110,753.463,0.94639,0.60208,1.05622,0.7832,0.70918,0.80272,0.47819,1.47786,0.86032,1.4551,0.00076757,0.00076757,0.00076757
111,761.317,0.95597,0.58088,1.03898,0.79982,0.67632,0.75521,0.44261,1.4935,0.93967,1.45323,0.000759318,0.000759318,0.000759318
112,769.008,0.9425,0.57807,1.03749,0.77838,0.70999,0.78077,0.46744,1.47939,0.89864,1.44042,0.000751067,0.000751067,0.000751067
113,776.738,0.94171,0.56747,1.04335,0.79256,0.76569,0.81868,0.48504,1.49251,0.82845,1.46582,0.000742815,0.000742815,0.000742815
114,784.366,0.9445,0.5773,1.04712,0.82516,0.73569,0.79976,0.47756,1.47164,0.84203,1.43351,0.000734564,0.000734564,0.000734564
115,792.183,0.92169,0.55908,1.03498,0.79917,0.72401,0.79811,0.46706,1.46209,0.85379,1.43981,0.000726312,0.000726312,0.000726312
116,799.774,0.94917,0.56873,1.0457,0.76567,0.77327,0.80835,0.47927,1.45642,0.84383,1.43628,0.00071806,0.00071806,0.00071806
117,807.488,0.93842,0.56414,1.04344,0.81383,0.72593,0.80466,0.47032,1.47278,0.85548,1.46195,0.000709809,0.000709809,0.000709809
118,815.149,0.91469,0.55037,1.0347,0.77519,0.74911,0.80592,0.47231,1.48376,0.82571,1.4641,0.000701557,0.000701557,0.000701557
119,822.915,0.90609,0.54985,1.02744,0.78094,0.72533,0.78642,0.47589,1.47186,0.89274,1.43679,0.000693305,0.000693305,0.000693305
120,830.569,0.91278,0.57267,1.03896,0.72022,0.77161,0.78306,0.46433,1.49951,0.88634,1.47093,0.000685054,0.000685054,0.000685054
121,838.418,0.94512,0.59339,1.05055,0.76009,0.69483,0.75657,0.45007,1.48549,0.93983,1.45257,0.000676802,0.000676802,0.000676802
122,846.046,0.9111,0.55565,1.03401,0.80359,0.71642,0.80594,0.48311,1.45425,0.84358,1.42499,0.00066855,0.00066855,0.00066855
123,853.754,0.90044,0.55259,1.02892,0.79148,0.69565,0.77986,0.45658,1.47111,0.87717,1.41793,0.000660299,0.000660299,0.000660299
124,861.395,0.89758,0.54266,1.0302,0.78752,0.70076,0.78696,0.4655,1.47389,0.87519,1.44487,0.000652047,0.000652047,0.000652047
125,869.139,0.92419,0.56218,1.0371,0.76885,0.72304,0.79467,0.46537,1.47854,0.83389,1.4616,0.000643795,0.000643795,0.000643795
126,876.775,0.9016,0.55394,1.02606,0.80393,0.68019,0.76431,0.4459,1.45554,0.89319,1.4459,0.000635544,0.000635544,0.000635544
127,884.683,0.88779,0.53858,1.0218,0.7952,0.68732,0.78142,0.46981,1.47704,0.86346,1.46537,0.000627292,0.000627292,0.000627292
128,892.316,0.89017,0.5331,1.01579,0.8402,0.67343,0.78948,0.47322,1.44739,0.84194,1.43853,0.00061904,0.00061904,0.00061904
129,900.094,0.89211,0.54553,1.01583,0.80345,0.68884,0.78323,0.46358,1.4856,0.87177,1.46746,0.000610789,0.000610789,0.000610789
130,907.75,0.90468,0.55927,1.02793,0.79901,0.70651,0.7814,0.46521,1.48934,0.86051,1.45491,0.000602537,0.000602537,0.000602537
131,915.496,0.88119,0.53885,1.02211,0.81908,0.67947,0.78104,0.4629,1.48235,0.87008,1.4615,0.000594286,0.000594286,0.000594286
132,923.138,0.88838,0.5396,1.02096,0.81058,0.68744,0.77809,0.46246,1.47097,0.86255,1.45389,0.000586034,0.000586034,0.000586034
133,930.9,0.88072,0.53365,1.01479,0.75134,0.72529,0.78706,0.46743,1.45977,0.88315,1.43202,0.000577782,0.000577782,0.000577782
134,938.501,0.8699,0.52659,1.01194,0.82494,0.67613,0.78275,0.46876,1.49539,0.90562,1.47988,0.000569531,0.000569531,0.000569531
135,946.28,0.86159,0.51677,1.00434,0.80864,0.6901,0.79383,0.47813,1.46657,0.84238,1.44754,0.000561279,0.000561279,0.000561279
136,954.047,0.87059,0.532,1.01371,0.76229,0.71826,0.786,0.45757,1.50881,0.87487,1.51084,0.000553027,0.000553027,0.000553027
137,961.744,0.8783,0.52445,1.01178,0.76133,0.72546,0.80211,0.46916,1.50094,0.86321,1.50458,0.000544776,0.000544776,0.000544776
138,969.573,0.85067,0.51269,1.00437,0.83067,0.64778,0.76117,0.44505,1.48581,0.89348,1.47941,0.000536524,0.000536524,0.000536524
139,977.279,0.85242,0.51918,1.00388,0.81399,0.67709,0.77536,0.45743,1.46455,0.89135,1.46454,0.000528272,0.000528272,0.000528272
140,985.078,0.85372,0.51106,1.01114,0.81482,0.6939,0.79104,0.47087,1.47136,0.86255,1.46491,0.000520021,0.000520021,0.000520021
141,992.765,0.84862,0.50668,0.99974,0.84472,0.69325,0.79563,0.47574,1.48423,0.84428,1.46979,0.000511769,0.000511769,0.000511769
142,1000.59,0.86214,0.5199,1.01532,0.82098,0.68026,0.7957,0.46892,1.46991,0.85174,1.4512,0.000503517,0.000503517,0.000503517
143,1008.28,0.86726,0.51572,1.00571,0.77351,0.75183,0.79955,0.46812,1.50937,0.86429,1.48634,0.000495266,0.000495266,0.000495266
144,1015.99,0.84625,0.5083,0.9987,0.80441,0.71347,0.79266,0.46301,1.51063,0.8711,1.50765,0.000487014,0.000487014,0.000487014
145,1023.68,0.87949,0.52385,1.00744,0.78687,0.70307,0.80066,0.47247,1.49433,0.86684,1.49892,0.000478762,0.000478762,0.000478762
146,1031.39,0.84976,0.51886,1.01101,0.77394,0.71137,0.79086,0.46139,1.4728,0.9152,1.46136,0.000470511,0.000470511,0.000470511
147,1039.03,0.84344,0.49724,0.99668,0.80984,0.70359,0.79627,0.46795,1.49232,0.91438,1.46597,0.000462259,0.000462259,0.000462259
148,1046.92,0.82263,0.49022,0.99467,0.7924,0.70213,0.80118,0.46764,1.47833,0.85092,1.47203,0.000454007,0.000454007,0.000454007
