epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
183,1317.75,0.7465,0.44097,0.96148,0.79206,0.71725,0.78601,0.46711,1.4789,0.87781,1.50247,0.0001652,0.0001652,0.0001652
184,1325.36,0.74381,0.44443,0.95978,0.80175,0.71302,0.78297,0.46943,1.47938,0.88291,1.49942,0.000156948,0.000156948,0.000156948
185,1333.04,0.73785,0.44175,0.96044,0.79837,0.71298,0.78433,0.47171,1.4862,0.87849,1.50348,0.000148696,0.000148696,0.000148696
186,1340.77,0.74217,0.43453,0.95686,0.79496,0.72185,0.78647,0.4727,1.47224,0.876,1.49062,0.000140445,0.000140445,0.000140445
187,1348.52,0.7524,0.44642,0.96022,0.78011,0.71642,0.78194,0.47249,1.49238,0.87802,1.5076,0.000132193,0.000132193,0.000132193
188,1356.23,0.73892,0.43866,0.95909,0.79838,0.6975,0.7835,0.46935,1.50396,0.87219,1.5313,0.000123941,0.000123941,0.000123941
189,1364.09,0.73676,0.44662,0.96037,0.80107,0.70329,0.79144,0.46716,1.49924,0.87859,1.5272,0.00011569,0.00011569,0.00011569
190,1371.84,0.7367,0.4423,0.96564,0.79833,0.71077,0.78782,0.46591,1.50649,0.88411,1.52721,0.000107438,0.000107438,0.000107438
191,1394.86,0.68625,0.3729,0.9291,0.77546,0.68384,0.7674,0.45451,1.49654,0.89621,1.51535,9.91865e-05,9.91865e-05,9.91865e-05
192,1402.47,0.66349,0.35361,0.9127,0.79335,0.67683,0.77008,0.45696,1.49429,0.89034,1.51969,9.09349e-05,9.09349e-05,9.09349e-05
193,1410.24,0.65846,0.3514,0.91671,0.79879,0.69011,0.7761,0.46386,1.49033,0.87623,1.52962,8.26832e-05,8.26832e-05,8.26832e-05
194,1417.95,0.6363,0.3401,0.90476,0.79225,0.70144,0.78077,0.46373,1.49685,0.87309,1.53319,7.44316e-05,7.44316e-05,7.44316e-05
195,1425.58,0.65386,0.3499,0.91745,0.80176,0.70676,0.78878,0.47077,1.49681,0.86729,1.52918,6.61799e-05,6.61799e-05,6.61799e-05
196,1433.16,0.63939,0.33942,0.91283,0.79819,0.71087,0.78498,0.46777,1.49525,0.862,1.51984,5.79283e-05,5.79283e-05,5.79283e-05
197,1440.76,0.63011,0.3354,0.9061,0.81144,0.70297,0.78886,0.47065,1.49118,0.85832,1.51551,4.96766e-05,4.96766e-05,4.96766e-05
198,1448.26,0.63218,0.33896,0.9068,0.80258,0.70241,0.78162,0.46628,1.48985,0.85995,1.51297,4.1425e-05,4.1425e-05,4.1425e-05
199,1455.96,0.6356,0.34705,0.90238,0.79565,0.70555,0.78355,0.46882,1.48564,0.86004,1.50977,3.31733e-05,3.31733e-05,3.31733e-05
200,1463.46,0.633,0.33537,0.89435,0.79801,0.70689,0.78863,0.46828,1.48901,0.8542,1.51475,2.49217e-05,2.49217e-05,2.49217e-05
